time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,current_lpf,tau_mod
0.733694,-9.86803,0,-0.664405,0.00594418,0.0282828,-12.9935,-11.4824,0,-11.5083
0.741509,-9.86576,0,-0.664405,0.00508131,0.0282828,-13.0118,-11.2824,0,-11.5083
0.749516,-9.86344,0,-0.664405,0.00441019,0.0282828,2.35412,-11.4824,0,-11.5083
0.759995,-9.86108,0,-0.66431,0.00441019,0.0282828,-12.9843,-11.7412,0,-11.5069
0.768588,-9.85785,0,-0.664214,0.00757403,0.0281869,-12.9339,-10.4471,0,-11.5055
0.776564,-9.85548,0,-0.664118,0.00968325,0.0281869,-12.8606,-11.0941,0,-11.5041
0.784508,-9.85308,0,-0.664118,0.00958738,0.0281869,-12.8194,-10.7294,0,-11.5041
0.792734,-9.85063,0,-0.664022,0.00853277,0.0281869,-12.8057,-10.4,0,-11.5027
0.800673,-9.8482,0,-0.664022,0.00786165,0.0281869,-12.7828,-9.83529,0,-11.5027
0.809586,-9.84544,0,-0.663926,0.0110255,0.028091,-12.7645,-9.82353,0,-11.5013
0.817624,-9.84297,0,-0.663734,0.0113131,0.028091,-12.7553,-10.7647,0,-11.4984
0.825702,-9.84044,0,-0.663734,0.00901214,0.028091,-12.8286,-10.9882,0,-11.4984
0.834528,-9.83763,0,-0.663638,0.0119842,0.0281869,-12.8332,-10.9647,0,-11.497
0.842918,-9.83501,0,-0.663447,0.0233932,0.028091,-12.7645,-11.0118,0,-11.4942
0.852797,-9.83182,0,-0.663255,0.0223386,0.028091,-12.7461,-11.7647,0,-11.4914
0.861622,-9.82895,0,-0.663159,0.0188871,0.0281869,-12.9156,-12.8824,0,-11.49
0.870564,-9.82602,0,-0.663159,0.0178325,0.0282828,-13.0622,-12.7882,0,-11.49
0.878511,-9.82339,0,-0.663159,0.016682,0.0283786,-13.1629,-10.7294,0,-11.49
0.886593,-9.82072,0,-0.663159,0.0141893,0.0283786,-13.2225,-11.1647,0,-11.49
0.894506,-9.81807,0,-0.663159,0.0111214,0.0284745,-13.2316,-10.2706,0,-11.49
0.902505,-9.81539,0,-0.663063,0.00977913,0.0284745,-13.1812,-10.3529,0,-11.4886
0.910507,-9.81268,0,-0.663063,0.00910801,0.0283786,-13.1675,-11.1647,0,-11.4886
0.918662,-9.80992,0,-0.662967,0.00882039,0.0283786,-13.1263,-10.6941,0,-11.4872
0.92757,-9.80685,0,-0.662967,0.00728641,0.0283786,-13.0576,-9.97647,0,-11.4872
0.935511,-9.80408,0,-0.662967,0.00949151,0.0282828,-12.9339,-11.0235,0,-11.4872
0.944646,-9.80097,0,-0.662871,0.00843689,0.0282828,-12.8561,-9.72941,0,-11.4858
0.953724,-9.79774,0,-0.662776,0.010642,0.0281869,-12.7461,-10.5882,0,-11.4843
0.962551,-9.79458,0,-0.66268,0.00958738,0.028091,-12.6866,-10.3059,0,-11.4829
0.970548,-9.79173,0,-0.66268,0.0080534,0.028091,-12.6683,-10.5176,0,-11.4829
0.978596,-9.78881,0,-0.662584,0.00709466,0.028091,-12.6774,-10.6471,0,-11.4815
0.986498,-9.78595,0,-0.662488,0.00632767,0.028091,-12.7187,-10.7882,0,-11.4801
0.994496,-9.78304,0,-0.662488,0.00690291,0.028091,-12.7645,-11.9882,0,-11.4801
1.00425,-9.78011,0,-0.662488,0.00651942,0.0281869,-12.8469,-9.43529,0,-11.4801
1.01295,-9.77639,0,-0.662392,0.00824515,0.0281869,-12.8744,-10.1529,0,-11.4787
1.02159,-9.77305,0,-0.662296,0.00738228,0.0281869,-12.9522,-9.89412,0,-11.4773
1.02952,-9.77006,0,-0.6622,0.00709466,0.0282828,2.35412,-9.77647,0,-11.4759
1.03775,-9.76701,0,-0.6622,0.00709466,0.0283786,-13.0301,-9.01176,0,-11.4759
1.04669,-9.76361,0,-0.662104,0.00671117,0.0282828,-13.0713,-10.1529,0,-11.4745
1.05572,-9.76017,0,-0.662104,0.00575243,0.0283786,-13.108,-9.11765,0,-11.4745
1.06511,-9.7567,0,-0.662104,0.00517718,0.0283786,-13.0896,-9.50588,0,-11.4745
1.0738,-9.7532,0,-0.662009,0.00479369,0.0283786,-13.0622,-9.25882,0,-11.4731
1.08269,-9.74969,0,-0.662009,0.00469782,0.0282828,-13.0255,-10.6941,0,-11.4731
1.09069,-9.74654,0,-0.661913,0.00469782,0.0282828,-12.9889,-9.97647,0,-11.4716
1.099,-9.74329,0,-0.661913,0.00421845,0.0282828,-12.9293,-9.2,0,-11.4716
1.10768,-9.73978,0,-0.661913,0.00479369,0.0282828,-12.8652,-8.78824,0,-11.4716
1.11661,-9.73617,0,-0.661913,0.00556068,0.0281869,-12.8148,-9.98824,0,-11.4716
